"rules" "support" "confidence" "coverage" "lift" "count"
"868" "{Cover Koper,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.031304347826087 0.981818181818182 0.0318840579710145 8.10352327098738 108
"2453" "{Baju Kaos Anak - Superheroes,Celana Pendek Green/Hijau} => {Baju Kaos Olahraga}" 0.0202898550724638 0.721649484536082 0.0281159420289855 8.0834114339269 70
"2580" "{Atasan Kaos Putih,Wedges Hitam} => {Baju Renang Pria Dewasa}" 0.043768115942029 0.733009708737864 0.0597101449275362 8.07949998449083 151
"1073" "{Celana Panjang Format Hitam,Cream Whitening} => {Baju Kaos Anak - Karakter Kartun}" 0.0263768115942029 0.978494623655914 0.0269565217391304 8.07609198950455 91
"43" "{Kuas Makeup } => {Sunblock Cream}" 0.0182608695652174 0.533898305084746 0.0342028985507246 8.04344608097106 63
"859" "{Celana Pendek Jeans,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.0315942028985507 0.973214285714286 0.032463768115942 8.03251025290499 109
"847" "{Tank Top,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.031304347826087 0.964285714285714 0.032463768115942 7.95881749829118 108
"2102" "{Tali Pinggang Anak,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0130434782608696 0.642857142857143 0.0202898550724638 7.92091836734694 45
"1093" "{Celana Panjang Format Hitam,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00318840579710145 1 0.00318840579710145 7.89473684210526 11
"2541" "{Baju Renang Pria Dewasa,Gembok Koper} => {Atasan Kaos Putih}" 0.0431884057971014 0.937106918238994 0.0460869565217391 7.88541187298665 149
"853" "{Blouse Denim,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00608695652173913 0.954545454545455 0.0063768115942029 7.87842540234885 21
"857" "{Dompet Flip Cover,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00550724637681159 0.95 0.00579710144927536 7.84090909090909 19
"1086" "{Celana Panjang Format Hitam,Wedges Hitam} => {Cream Whitening}" 0.00550724637681159 0.513513513513513 0.0107246376811594 7.83903372398948 19
"171" "{Baju Renang Pria Anak-anak,Tas Waist Bag} => {Gembok Koper}" 0.00405797101449275 0.875 0.00463768115942029 7.82059585492228 14
"173" "{Baju Renang Pria Anak-anak,Flat Shoes Ballerina} => {Gembok Koper}" 0.00405797101449275 0.875 0.00463768115942029 7.82059585492228 14
"856" "{Tas Tangan,Tas Travel} => {Baju Kaos Anak - Karakter Kartun}" 0.00521739130434783 0.947368421052632 0.0055072463768116 7.81918912112818 18
